"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2021","2021","USD","US Dollar","0","Units",,,25353.99,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,0.54,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.55,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.57,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.59,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,0.62,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,0.69,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,0.8,,
"MEX","Mexico","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,0.87,,
